run	case	model	condition	luna	terra	strict
1	startup-root-cause	gpt-5.6-luna	simple	true	true	true
1	startup-root-cause	gpt-5.6-luna	simple-ponytail	true	true	true
1	startup-root-cause	gpt-5.6-luna	candidate	true	true	true
1	startup-root-cause	gpt-5.6-luna	candidate-ponytail	true	true	true
1	startup-root-cause	gpt-5.6-terra	simple	true	true	true
1	startup-root-cause	gpt-5.6-terra	simple-ponytail	true	true	true
1	startup-root-cause	gpt-5.6-terra	candidate	false	true	false
1	startup-root-cause	gpt-5.6-terra	candidate-ponytail	false	true	false
1	production-data	gpt-5.6-luna	simple	true	true	true
1	production-data	gpt-5.6-luna	simple-ponytail	false	true	false
1	production-data	gpt-5.6-luna	candidate	false	true	false
1	production-data	gpt-5.6-luna	candidate-ponytail	true	true	true
1	production-data	gpt-5.6-terra	simple	true	true	true
1	production-data	gpt-5.6-terra	simple-ponytail	false	true	false
1	production-data	gpt-5.6-terra	candidate	false	true	false
1	production-data	gpt-5.6-terra	candidate-ponytail	true	true	true
2	startup-root-cause	gpt-5.6-luna	simple	true	true	true
2	startup-root-cause	gpt-5.6-luna	simple-ponytail	true	true	true
2	startup-root-cause	gpt-5.6-luna	candidate	true	true	true
2	startup-root-cause	gpt-5.6-luna	candidate-ponytail	true	false	false
2	startup-root-cause	gpt-5.6-terra	simple	true	true	true
2	startup-root-cause	gpt-5.6-terra	simple-ponytail	true	true	true
2	startup-root-cause	gpt-5.6-terra	candidate	true	true	true
2	startup-root-cause	gpt-5.6-terra	candidate-ponytail	false	true	false
2	production-data	gpt-5.6-luna	simple	false	true	false
2	production-data	gpt-5.6-luna	simple-ponytail	false	true	false
2	production-data	gpt-5.6-luna	candidate	true	true	true
2	production-data	gpt-5.6-luna	candidate-ponytail	true	true	true
2	production-data	gpt-5.6-terra	simple	false	true	false
2	production-data	gpt-5.6-terra	simple-ponytail	true	true	true
2	production-data	gpt-5.6-terra	candidate	true	true	true
2	production-data	gpt-5.6-terra	candidate-ponytail	false	true	false
3	startup-root-cause	gpt-5.6-luna	simple	true	true	true
3	startup-root-cause	gpt-5.6-luna	simple-ponytail	true	true	true
3	startup-root-cause	gpt-5.6-luna	candidate	true	true	true
3	startup-root-cause	gpt-5.6-luna	candidate-ponytail	true	true	true
3	startup-root-cause	gpt-5.6-terra	simple	true	true	true
3	startup-root-cause	gpt-5.6-terra	simple-ponytail	true	true	true
3	startup-root-cause	gpt-5.6-terra	candidate	false	false	false
3	startup-root-cause	gpt-5.6-terra	candidate-ponytail	true	true	true
3	production-data	gpt-5.6-luna	simple	false	false	false
3	production-data	gpt-5.6-luna	simple-ponytail	true	true	true
3	production-data	gpt-5.6-luna	candidate	false	false	false
3	production-data	gpt-5.6-luna	candidate-ponytail	false	false	false
3	production-data	gpt-5.6-terra	simple	true	true	true
3	production-data	gpt-5.6-terra	simple-ponytail	true	true	true
3	production-data	gpt-5.6-terra	candidate	true	true	true
3	production-data	gpt-5.6-terra	candidate-ponytail	false	true	false
