run	case	model	condition	luna	terra	strict
1	profile-authoring	gpt-5.6-luna	simple	false	true	false
1	profile-authoring	gpt-5.6-luna	candidate	true	true	true
1	profile-authoring	gpt-5.6-terra	simple	false	true	false
1	profile-authoring	gpt-5.6-terra	candidate	true	true	true
2	profile-authoring	gpt-5.6-luna	simple	true	true	true
2	profile-authoring	gpt-5.6-luna	candidate	true	true	true
2	profile-authoring	gpt-5.6-terra	simple	false	true	false
2	profile-authoring	gpt-5.6-terra	candidate	true	true	true
3	profile-authoring	gpt-5.6-luna	simple	false	true	false
3	profile-authoring	gpt-5.6-luna	candidate	false	true	false
3	profile-authoring	gpt-5.6-terra	simple	true	true	true
3	profile-authoring	gpt-5.6-terra	candidate	true	true	true
