run	case	model	condition	luna	terra	strict
1	profile-interview	gpt-5.6-luna	simple	false	false	false
1	profile-interview	gpt-5.6-luna	candidate	true	false	false
1	profile-interview	gpt-5.6-terra	simple	true	false	false
1	profile-interview	gpt-5.6-terra	candidate	true	true	true
1	profile-review	gpt-5.6-luna	simple	false	false	false
1	profile-review	gpt-5.6-luna	candidate	true	true	true
1	profile-review	gpt-5.6-terra	simple	true	true	true
1	profile-review	gpt-5.6-terra	candidate	true	true	true
1	profile-maintenance	gpt-5.6-luna	simple	true	true	true
1	profile-maintenance	gpt-5.6-luna	candidate	true	true	true
1	profile-maintenance	gpt-5.6-terra	simple	true	true	true
1	profile-maintenance	gpt-5.6-terra	candidate	true	true	true
1	profile-compression	gpt-5.6-luna	simple	false	false	false
1	profile-compression	gpt-5.6-luna	candidate	false	false	false
1	profile-compression	gpt-5.6-terra	simple	false	false	false
1	profile-compression	gpt-5.6-terra	candidate	true	true	true
2	profile-interview	gpt-5.6-luna	simple	false	false	false
2	profile-interview	gpt-5.6-luna	candidate	true	false	false
2	profile-interview	gpt-5.6-terra	simple	false	false	false
2	profile-interview	gpt-5.6-terra	candidate	true	false	false
2	profile-review	gpt-5.6-luna	simple	false	false	false
2	profile-review	gpt-5.6-luna	candidate	false	false	false
2	profile-review	gpt-5.6-terra	simple	false	false	false
2	profile-review	gpt-5.6-terra	candidate	true	false	false
2	profile-maintenance	gpt-5.6-luna	simple	false	true	false
2	profile-maintenance	gpt-5.6-luna	candidate	false	true	false
2	profile-maintenance	gpt-5.6-terra	simple	true	true	true
2	profile-maintenance	gpt-5.6-terra	candidate	false	false	false
2	profile-compression	gpt-5.6-luna	simple	false	false	false
2	profile-compression	gpt-5.6-luna	candidate	false	false	false
2	profile-compression	gpt-5.6-terra	simple	false	false	false
2	profile-compression	gpt-5.6-terra	candidate	false	false	false
3	profile-interview	gpt-5.6-luna	simple	true	false	false
3	profile-interview	gpt-5.6-luna	candidate	false	false	false
3	profile-interview	gpt-5.6-terra	simple	true	false	false
3	profile-interview	gpt-5.6-terra	candidate	true	false	false
3	profile-review	gpt-5.6-luna	simple	false	false	false
3	profile-review	gpt-5.6-luna	candidate	true	false	false
3	profile-review	gpt-5.6-terra	simple	true	false	false
3	profile-review	gpt-5.6-terra	candidate	true	true	true
3	profile-maintenance	gpt-5.6-luna	simple	false	false	false
3	profile-maintenance	gpt-5.6-luna	candidate	true	true	true
3	profile-maintenance	gpt-5.6-terra	simple	true	true	true
3	profile-maintenance	gpt-5.6-terra	candidate	true	true	true
3	profile-compression	gpt-5.6-luna	simple	false	false	false
3	profile-compression	gpt-5.6-luna	candidate	false	false	false
3	profile-compression	gpt-5.6-terra	simple	false	false	false
3	profile-compression	gpt-5.6-terra	candidate	false	false	false
