run	case	model	condition	luna	terra	strict
1	shared-owner-fix	gpt-5.6-luna	simple	true	true	true
1	shared-owner-fix	gpt-5.6-luna	candidate	true	true	true
1	shared-owner-fix	gpt-5.6-terra	simple	true	true	true
1	shared-owner-fix	gpt-5.6-terra	candidate	true	true	true
1	startup-root-cause	gpt-5.6-luna	simple	true	true	true
1	startup-root-cause	gpt-5.6-luna	candidate	true	true	true
1	startup-root-cause	gpt-5.6-terra	simple	true	true	true
1	startup-root-cause	gpt-5.6-terra	candidate	true	true	true
2	shared-owner-fix	gpt-5.6-luna	simple	true	true	true
2	shared-owner-fix	gpt-5.6-luna	candidate	true	true	true
2	shared-owner-fix	gpt-5.6-terra	simple	true	true	true
2	shared-owner-fix	gpt-5.6-terra	candidate	true	true	true
2	startup-root-cause	gpt-5.6-luna	simple	true	true	true
2	startup-root-cause	gpt-5.6-luna	candidate	false	false	false
2	startup-root-cause	gpt-5.6-terra	simple	true	true	true
2	startup-root-cause	gpt-5.6-terra	candidate	true	true	true
3	shared-owner-fix	gpt-5.6-luna	simple	true	true	true
3	shared-owner-fix	gpt-5.6-luna	candidate	true	true	true
3	shared-owner-fix	gpt-5.6-terra	simple	true	true	true
3	shared-owner-fix	gpt-5.6-terra	candidate	true	true	true
3	startup-root-cause	gpt-5.6-luna	simple	true	true	true
3	startup-root-cause	gpt-5.6-luna	candidate	true	false	false
3	startup-root-cause	gpt-5.6-terra	simple	true	true	true
3	startup-root-cause	gpt-5.6-terra	candidate	true	true	true
