run	case	model	condition	strict
1	correction-preserves	gpt-5.6-luna	none	true
1	correction-preserves	gpt-5.6-luna	current-a	true
1	correction-preserves	gpt-5.6-luna	current-b	true
1	correction-preserves	gpt-5.6-luna	candidate	true
1	fallback-selection	gpt-5.6-luna	current-a	true
1	fallback-selection	gpt-5.6-luna	current-b	true
1	fallback-selection	gpt-5.6-luna	candidate	true
1	fallback-selection	gpt-5.6-luna	none	false
1	uncertain-write	gpt-5.6-luna	current-b	true
1	uncertain-write	gpt-5.6-luna	candidate	true
1	uncertain-write	gpt-5.6-luna	none	true
1	uncertain-write	gpt-5.6-luna	current-a	true
1	reuse-reference	gpt-5.6-luna	candidate	true
1	reuse-reference	gpt-5.6-luna	none	true
1	reuse-reference	gpt-5.6-luna	current-a	true
1	reuse-reference	gpt-5.6-luna	current-b	true
1	easy-edit	gpt-5.6-luna	none	true
1	easy-edit	gpt-5.6-luna	current-a	true
1	easy-edit	gpt-5.6-luna	current-b	true
1	easy-edit	gpt-5.6-luna	candidate	true
