run	case	model	condition	luna	strict
1	debug-spiral	gpt-5.6-luna	none	false	false
1	debug-spiral	gpt-5.6-luna	current	false	false
1	debug-spiral	gpt-5.6-luna	candidate	false	false
1	list-cap	gpt-5.6-luna	none	false	false
1	list-cap	gpt-5.6-luna	current	false	false
1	list-cap	gpt-5.6-luna	candidate	false	false
1	failure-shape	gpt-5.6-luna	none	false	false
1	failure-shape	gpt-5.6-luna	current	false	false
1	failure-shape	gpt-5.6-luna	candidate	false	false
1	inspection-not-execution	gpt-5.6-luna	none	true	true
1	inspection-not-execution	gpt-5.6-luna	current	false	false
1	inspection-not-execution	gpt-5.6-luna	candidate	true	true
1	round-status	gpt-5.6-luna	none	false	false
1	round-status	gpt-5.6-luna	current	false	false
1	round-status	gpt-5.6-luna	candidate	true	true
1	stated-requirement	gpt-5.6-luna	none	false	false
1	stated-requirement	gpt-5.6-luna	current	false	false
1	stated-requirement	gpt-5.6-luna	candidate	true	true
1	stated-requirement-consumer	gpt-5.6-luna	none	true	true
1	stated-requirement-consumer	gpt-5.6-luna	current	true	true
1	stated-requirement-consumer	gpt-5.6-luna	candidate	true	true
2	debug-spiral	gpt-5.6-luna	none	false	false
2	debug-spiral	gpt-5.6-luna	current	false	false
2	debug-spiral	gpt-5.6-luna	candidate	false	false
2	list-cap	gpt-5.6-luna	none	false	false
2	list-cap	gpt-5.6-luna	current	false	false
2	list-cap	gpt-5.6-luna	candidate	false	false
2	failure-shape	gpt-5.6-luna	none	false	false
2	failure-shape	gpt-5.6-luna	current	false	false
2	failure-shape	gpt-5.6-luna	candidate	false	false
2	inspection-not-execution	gpt-5.6-luna	none	true	true
2	inspection-not-execution	gpt-5.6-luna	current	false	false
2	inspection-not-execution	gpt-5.6-luna	candidate	false	false
2	round-status	gpt-5.6-luna	none	false	false
2	round-status	gpt-5.6-luna	current	false	false
2	round-status	gpt-5.6-luna	candidate	false	false
2	stated-requirement	gpt-5.6-luna	none	false	false
2	stated-requirement	gpt-5.6-luna	current	true	true
2	stated-requirement	gpt-5.6-luna	candidate	true	true
2	stated-requirement-consumer	gpt-5.6-luna	none	false	false
2	stated-requirement-consumer	gpt-5.6-luna	current	false	false
2	stated-requirement-consumer	gpt-5.6-luna	candidate	true	true
