run	case	model	condition	luna	strict
1	primary-permanent-failure	gpt-5.6-luna	none	true	true
1	primary-permanent-failure	gpt-5.6-luna	current	true	true
1	primary-permanent-failure	gpt-5.6-luna	candidate	true	true
1	transient-fallback	gpt-5.6-luna	none	true	true
1	transient-fallback	gpt-5.6-luna	current	true	true
1	transient-fallback	gpt-5.6-luna	candidate	true	true
1	unknown-mutation	gpt-5.6-luna	none	false	false
1	unknown-mutation	gpt-5.6-luna	current	true	true
1	unknown-mutation	gpt-5.6-luna	candidate	false	false
1	evidence-led-research	gpt-5.6-luna	none	true	true
1	evidence-led-research	gpt-5.6-luna	current	true	true
1	evidence-led-research	gpt-5.6-luna	candidate	true	true
1	package-vs-trivial-edit	gpt-5.6-luna	none	true	true
1	package-vs-trivial-edit	gpt-5.6-luna	current	true	true
1	package-vs-trivial-edit	gpt-5.6-luna	candidate	true	true
1	structured-identity	gpt-5.6-luna	none	true	true
1	structured-identity	gpt-5.6-luna	current	true	true
1	structured-identity	gpt-5.6-luna	candidate	true	true
