run	case	model	condition	luna	terra	strict
1	proof-tautology	gpt-5.6-luna	none	true	true	true
1	proof-tautology	gpt-5.6-luna	simple	true	true	true
1	proof-tautology	gpt-5.6-luna	candidate	true	true	true
1	proof-tautology	gpt-5.6-luna	simple-ponytail	true	true	true
1	proof-tautology	gpt-5.6-luna	candidate-ponytail	true	true	true
1	proof-tautology	gpt-5.6-terra	none	true	true	true
1	proof-tautology	gpt-5.6-terra	simple	false	true	false
1	proof-tautology	gpt-5.6-terra	candidate	true	true	true
1	proof-tautology	gpt-5.6-terra	simple-ponytail	true	true	true
1	proof-tautology	gpt-5.6-terra	candidate-ponytail	true	true	true
1	proof-refactor	gpt-5.6-luna	none	true	true	true
1	proof-refactor	gpt-5.6-luna	simple	true	true	true
1	proof-refactor	gpt-5.6-luna	candidate	true	true	true
1	proof-refactor	gpt-5.6-luna	simple-ponytail	false	true	false
1	proof-refactor	gpt-5.6-luna	candidate-ponytail	true	true	true
1	proof-refactor	gpt-5.6-terra	none	true	true	true
1	proof-refactor	gpt-5.6-terra	simple	true	true	true
1	proof-refactor	gpt-5.6-terra	candidate	true	true	true
1	proof-refactor	gpt-5.6-terra	simple-ponytail	true	true	true
1	proof-refactor	gpt-5.6-terra	candidate-ponytail	true	true	true
1	proof-interaction-contract	gpt-5.6-luna	none	true	true	true
1	proof-interaction-contract	gpt-5.6-luna	simple	true	true	true
1	proof-interaction-contract	gpt-5.6-luna	candidate	true	true	true
1	proof-interaction-contract	gpt-5.6-luna	simple-ponytail	true	true	true
1	proof-interaction-contract	gpt-5.6-luna	candidate-ponytail	true	true	true
1	proof-interaction-contract	gpt-5.6-terra	none	true	true	true
1	proof-interaction-contract	gpt-5.6-terra	simple	true	true	true
1	proof-interaction-contract	gpt-5.6-terra	candidate	true	false	false
1	proof-interaction-contract	gpt-5.6-terra	simple-ponytail	true	true	true
1	proof-interaction-contract	gpt-5.6-terra	candidate-ponytail	true	true	true
