run	case	model	condition	strict
1	correction-preserves	gpt-5.6-luna	previous	true
1	correction-preserves	gpt-5.6-luna	candidate	true
1	correction-preserves	gpt-5.6-luna	short	true
1	fallback-selection	gpt-5.6-luna	candidate	true
1	fallback-selection	gpt-5.6-luna	short	false
1	fallback-selection	gpt-5.6-luna	previous	true
1	reuse-package	gpt-5.6-luna	short	true
1	reuse-package	gpt-5.6-luna	previous	true
1	reuse-package	gpt-5.6-luna	candidate	true
1	reuse-local	gpt-5.6-luna	previous	true
1	reuse-local	gpt-5.6-luna	candidate	true
1	reuse-local	gpt-5.6-luna	short	true
1	reuse-direct	gpt-5.6-luna	candidate	true
1	reuse-direct	gpt-5.6-luna	short	true
1	reuse-direct	gpt-5.6-luna	previous	true
1	writing-context	gpt-5.6-luna	short	true
1	writing-context	gpt-5.6-luna	previous	true
1	writing-context	gpt-5.6-luna	candidate	false
2	correction-preserves	gpt-5.6-luna	candidate	true
2	correction-preserves	gpt-5.6-luna	short	true
2	correction-preserves	gpt-5.6-luna	previous	true
2	fallback-selection	gpt-5.6-luna	short	true
2	fallback-selection	gpt-5.6-luna	previous	true
2	fallback-selection	gpt-5.6-luna	candidate	true
2	reuse-package	gpt-5.6-luna	previous	true
2	reuse-package	gpt-5.6-luna	candidate	true
2	reuse-package	gpt-5.6-luna	short	true
2	reuse-local	gpt-5.6-luna	candidate	true
2	reuse-local	gpt-5.6-luna	short	true
2	reuse-local	gpt-5.6-luna	previous	true
2	reuse-direct	gpt-5.6-luna	short	true
2	reuse-direct	gpt-5.6-luna	previous	true
2	reuse-direct	gpt-5.6-luna	candidate	true
2	writing-context	gpt-5.6-luna	previous	true
2	writing-context	gpt-5.6-luna	candidate	false
2	writing-context	gpt-5.6-luna	short	true
