run	case	model	condition	luna	strict
1	plain-translation	gpt-5.6-luna	none	false	false
1	plain-translation	gpt-5.6-luna	current	false	false
1	plain-translation	gpt-5.6-luna	candidate	false	false
1	verdict-first	gpt-5.6-luna	none	false	false
1	verdict-first	gpt-5.6-luna	current	false	false
1	verdict-first	gpt-5.6-luna	candidate	false	false
1	round-status	gpt-5.6-luna	none	false	false
1	round-status	gpt-5.6-luna	current	false	false
1	round-status	gpt-5.6-luna	candidate	false	false
1	scope-completion	gpt-5.6-luna	none	true	true
1	scope-completion	gpt-5.6-luna	current	true	true
1	scope-completion	gpt-5.6-luna	candidate	true	true
1	stated-requirement	gpt-5.6-luna	none	false	false
1	stated-requirement	gpt-5.6-luna	current	false	false
1	stated-requirement	gpt-5.6-luna	candidate	false	false
1	stated-requirement-consumer	gpt-5.6-luna	none	false	false
1	stated-requirement-consumer	gpt-5.6-luna	current	true	true
1	stated-requirement-consumer	gpt-5.6-luna	candidate	true	true
2	plain-translation	gpt-5.6-luna	none	false	false
2	plain-translation	gpt-5.6-luna	current	false	false
2	plain-translation	gpt-5.6-luna	candidate	false	false
2	verdict-first	gpt-5.6-luna	none	false	false
2	verdict-first	gpt-5.6-luna	current	false	false
2	verdict-first	gpt-5.6-luna	candidate	false	false
2	round-status	gpt-5.6-luna	none	false	false
2	round-status	gpt-5.6-luna	current	false	false
2	round-status	gpt-5.6-luna	candidate	false	false
2	scope-completion	gpt-5.6-luna	none	true	true
2	scope-completion	gpt-5.6-luna	current	true	true
2	scope-completion	gpt-5.6-luna	candidate	true	true
2	stated-requirement	gpt-5.6-luna	none	false	false
2	stated-requirement	gpt-5.6-luna	current	false	false
2	stated-requirement	gpt-5.6-luna	candidate	false	false
2	stated-requirement-consumer	gpt-5.6-luna	none	false	false
2	stated-requirement-consumer	gpt-5.6-luna	current	true	true
2	stated-requirement-consumer	gpt-5.6-luna	candidate	false	false
