run	case	model	condition	luna	terra	strict
1	board-routing	gpt-5.6-luna	none	true	true	true
1	board-routing	gpt-5.6-luna	simple	true	true	true
1	board-routing	gpt-5.6-terra	none	true	false	false
1	board-routing	gpt-5.6-terra	simple	false	true	false
1	board-routing-closed	gpt-5.6-luna	none	false	false	false
1	board-routing-closed	gpt-5.6-luna	simple	false	false	false
1	board-routing-closed	gpt-5.6-terra	none	false	true	false
1	board-routing-closed	gpt-5.6-terra	simple	true	false	false
1	board-no-delegation	gpt-5.6-luna	none	false	false	false
1	board-no-delegation	gpt-5.6-luna	simple	true	true	true
1	board-no-delegation	gpt-5.6-terra	none	false	false	false
1	board-no-delegation	gpt-5.6-terra	simple	true	true	true
1	board-majority-trap	gpt-5.6-luna	none	true	true	true
1	board-majority-trap	gpt-5.6-luna	simple	true	true	true
1	board-majority-trap	gpt-5.6-terra	none	false	false	false
1	board-majority-trap	gpt-5.6-terra	simple	true	true	true
1	board-restraint	gpt-5.6-luna	none	true	true	true
1	board-restraint	gpt-5.6-luna	simple	true	true	true
1	board-restraint	gpt-5.6-terra	none	false	false	false
1	board-restraint	gpt-5.6-terra	simple	true	true	true
