run	case	model	condition	luna	terra	strict
1	normalize-regrade	gpt-5.6-luna	none	false	false	false
1	normalize-regrade	gpt-5.6-luna	simple	false	false	false
1	normalize-regrade	gpt-5.6-luna	candidate	true	false	false
1	normalize-regrade	gpt-5.6-terra	none	true	false	false
1	normalize-regrade	gpt-5.6-terra	simple	true	true	true
1	normalize-regrade	gpt-5.6-terra	candidate	false	false	false
1	link-skill-restraint	gpt-5.6-luna	none	true	true	true
1	link-skill-restraint	gpt-5.6-luna	simple	true	true	true
1	link-skill-restraint	gpt-5.6-luna	candidate	true	true	true
1	link-skill-restraint	gpt-5.6-terra	none	true	true	true
1	link-skill-restraint	gpt-5.6-terra	simple	true	true	true
1	link-skill-restraint	gpt-5.6-terra	candidate	true	true	true
