run	case	model	condition	luna	strict
1	correction-preserves	gpt-5.6-luna	none	true	true
1	correction-preserves	gpt-5.6-luna	current	true	true
1	correction-preserves	gpt-5.6-luna	candidate	true	true
1	review-vs-bug-audit	gpt-5.6-luna	none	false	false
1	review-vs-bug-audit	gpt-5.6-luna	current	false	false
1	review-vs-bug-audit	gpt-5.6-luna	candidate	false	false
1	destination-before-ranking	gpt-5.6-luna	none	false	false
1	destination-before-ranking	gpt-5.6-luna	current	false	false
1	destination-before-ranking	gpt-5.6-luna	candidate	false	false
1	informal-term-api-alias	gpt-5.6-luna	none	true	true
1	informal-term-api-alias	gpt-5.6-luna	current	true	true
1	informal-term-api-alias	gpt-5.6-luna	candidate	true	true
1	domain-absence-expiry	gpt-5.6-luna	none	false	false
1	domain-absence-expiry	gpt-5.6-luna	current	false	false
1	domain-absence-expiry	gpt-5.6-luna	candidate	false	false
1	audience-no-invented-promise	gpt-5.6-luna	none	true	true
1	audience-no-invented-promise	gpt-5.6-luna	current	true	true
1	audience-no-invented-promise	gpt-5.6-luna	candidate	true	true
