run	case	model	condition	luna	terra	strict
1	agent-led-init-contract	claude-opus-5	none	false	false	false
1	agent-led-init-contract	claude-opus-5	simple	false	false	false
1	agent-led-init-contract	claude-sonnet-5	none	false	false	false
1	agent-led-init-contract	claude-sonnet-5	simple	false	false	false
1	agent-led-init-contract	gpt-5.6-luna	none	false	false	false
1	agent-led-init-contract	gpt-5.6-luna	simple	false	false	false
1	work-local-finish-boundary	claude-opus-5	none	true	true	true
1	work-local-finish-boundary	claude-opus-5	simple	true	true	true
1	work-local-finish-boundary	claude-sonnet-5	none	true	true	true
1	work-local-finish-boundary	claude-sonnet-5	simple	false	false	false
1	work-local-finish-boundary	gpt-5.6-luna	none	true	true	true
1	work-local-finish-boundary	gpt-5.6-luna	simple	true	true	true
1	reconcile-unknown-obligation	claude-opus-5	none	true	true	true
1	reconcile-unknown-obligation	claude-opus-5	simple	false	false	false
1	reconcile-unknown-obligation	claude-sonnet-5	none	false	true	false
1	reconcile-unknown-obligation	claude-sonnet-5	simple	false	true	false
1	reconcile-unknown-obligation	gpt-5.6-luna	none	false	false	false
1	reconcile-unknown-obligation	gpt-5.6-luna	simple	false	false	false
1	deep-audit-guide-first	claude-opus-5	none	false	false	false
1	deep-audit-guide-first	claude-opus-5	simple	false	false	false
1	deep-audit-guide-first	claude-sonnet-5	none	false	false	false
1	deep-audit-guide-first	claude-sonnet-5	simple	false	false	false
1	deep-audit-guide-first	gpt-5.6-luna	none	false	false	false
1	deep-audit-guide-first	gpt-5.6-luna	simple	false	false	false
