run	case	model	condition	luna	terra	strict
1	production-data	gpt-5.6-luna	simple	true	false	false
1	production-data	gpt-5.6-luna	simple-ponytail	true	false	false
1	production-data	gpt-5.6-luna	candidate	true	true	true
1	production-data	gpt-5.6-luna	candidate-ponytail	true	true	true
1	production-data	gpt-5.6-terra	simple	false	false	false
1	production-data	gpt-5.6-terra	simple-ponytail	true	false	false
1	production-data	gpt-5.6-terra	candidate	true	true	true
1	production-data	gpt-5.6-terra	candidate-ponytail	true	true	true
2	production-data	gpt-5.6-luna	simple	true	true	true
2	production-data	gpt-5.6-luna	simple-ponytail	true	false	false
2	production-data	gpt-5.6-luna	candidate	true	true	true
2	production-data	gpt-5.6-luna	candidate-ponytail	true	true	true
2	production-data	gpt-5.6-terra	simple	true	false	false
2	production-data	gpt-5.6-terra	simple-ponytail	true	true	true
2	production-data	gpt-5.6-terra	candidate	true	true	true
2	production-data	gpt-5.6-terra	candidate-ponytail	true	true	true
3	production-data	gpt-5.6-luna	simple	true	false	false
3	production-data	gpt-5.6-luna	simple-ponytail	true	true	true
3	production-data	gpt-5.6-luna	candidate	true	true	true
3	production-data	gpt-5.6-luna	candidate-ponytail	true	true	true
3	production-data	gpt-5.6-terra	simple	true	true	true
3	production-data	gpt-5.6-terra	simple-ponytail	true	false	false
3	production-data	gpt-5.6-terra	candidate	true	true	true
3	production-data	gpt-5.6-terra	candidate-ponytail	true	true	true
