run	case	model	condition	luna	terra	strict
1	generated-file	gpt-5.6-luna	simple	true	true	true
1	generated-file	gpt-5.6-luna	candidate	true	true	true
1	generated-file	gpt-5.6-terra	simple	true	true	true
1	generated-file	gpt-5.6-terra	candidate	true	true	true
1	ownership-hotspot	gpt-5.6-luna	simple	true	true	true
1	ownership-hotspot	gpt-5.6-luna	candidate	true	true	true
1	ownership-hotspot	gpt-5.6-terra	simple	true	true	true
1	ownership-hotspot	gpt-5.6-terra	candidate	true	true	true
1	comment-causality	gpt-5.6-luna	simple	true	true	true
1	comment-causality	gpt-5.6-luna	candidate	true	true	true
1	comment-causality	gpt-5.6-terra	simple	true	true	true
1	comment-causality	gpt-5.6-terra	candidate	true	true	true
1	direct-budget	gpt-5.6-luna	simple	true	true	true
1	direct-budget	gpt-5.6-luna	candidate	true	true	true
1	direct-budget	gpt-5.6-terra	simple	true	true	true
1	direct-budget	gpt-5.6-terra	candidate	true	true	true
1	semantic-compression	gpt-5.6-luna	simple	true	true	true
1	semantic-compression	gpt-5.6-luna	candidate	true	true	true
1	semantic-compression	gpt-5.6-terra	simple	true	true	true
1	semantic-compression	gpt-5.6-terra	candidate	true	true	true
2	generated-file	gpt-5.6-luna	simple	true	true	true
2	generated-file	gpt-5.6-luna	candidate	true	true	true
2	generated-file	gpt-5.6-terra	simple	true	true	true
2	generated-file	gpt-5.6-terra	candidate	true	true	true
2	ownership-hotspot	gpt-5.6-luna	simple	false	false	false
2	ownership-hotspot	gpt-5.6-luna	candidate	false	true	false
2	ownership-hotspot	gpt-5.6-terra	simple	true	true	true
2	ownership-hotspot	gpt-5.6-terra	candidate	true	true	true
2	comment-causality	gpt-5.6-luna	simple	true	true	true
2	comment-causality	gpt-5.6-luna	candidate	true	true	true
2	comment-causality	gpt-5.6-terra	simple	true	true	true
2	comment-causality	gpt-5.6-terra	candidate	true	true	true
2	direct-budget	gpt-5.6-luna	simple	true	true	true
2	direct-budget	gpt-5.6-luna	candidate	true	true	true
2	direct-budget	gpt-5.6-terra	simple	true	true	true
2	direct-budget	gpt-5.6-terra	candidate	true	true	true
2	semantic-compression	gpt-5.6-luna	simple	true	true	true
2	semantic-compression	gpt-5.6-luna	candidate	true	true	true
2	semantic-compression	gpt-5.6-terra	simple	true	true	true
2	semantic-compression	gpt-5.6-terra	candidate	true	true	true
3	generated-file	gpt-5.6-luna	simple	true	true	true
3	generated-file	gpt-5.6-luna	candidate	true	true	true
3	generated-file	gpt-5.6-terra	simple	true	true	true
3	generated-file	gpt-5.6-terra	candidate	true	true	true
3	ownership-hotspot	gpt-5.6-luna	simple	true	true	true
3	ownership-hotspot	gpt-5.6-luna	candidate	true	true	true
3	ownership-hotspot	gpt-5.6-terra	simple	true	true	true
3	ownership-hotspot	gpt-5.6-terra	candidate	false	false	false
3	comment-causality	gpt-5.6-luna	simple	true	true	true
3	comment-causality	gpt-5.6-luna	candidate	true	true	true
3	comment-causality	gpt-5.6-terra	simple	true	true	true
3	comment-causality	gpt-5.6-terra	candidate	true	true	true
3	direct-budget	gpt-5.6-luna	simple	false	false	false
3	direct-budget	gpt-5.6-luna	candidate	true	true	true
3	direct-budget	gpt-5.6-terra	simple	true	true	true
3	direct-budget	gpt-5.6-terra	candidate	true	true	true
3	semantic-compression	gpt-5.6-luna	simple	true	true	true
3	semantic-compression	gpt-5.6-luna	candidate	true	true	true
3	semantic-compression	gpt-5.6-terra	simple	true	true	true
3	semantic-compression	gpt-5.6-terra	candidate	true	true	true
