run	case	model	condition	opened	luna	terra	strict
1	greenfield-start	gpt-5.6-luna	current	true	true	true	true
1	greenfield-start	gpt-5.6-luna	candidate	true	true	true	true
1	greenfield-start	gpt-5.6-terra	current	true	false	false	false
1	greenfield-start	gpt-5.6-terra	candidate	true	false	false	false
1	shared-owner-fix	gpt-5.6-luna	current	true	true	true	true
1	shared-owner-fix	gpt-5.6-luna	candidate	true	true	true	true
1	shared-owner-fix	gpt-5.6-terra	current	true	true	true	true
1	shared-owner-fix	gpt-5.6-terra	candidate	true	true	true	true
1	startup-root-cause	gpt-5.6-luna	current	true	true	true	true
1	startup-root-cause	gpt-5.6-luna	candidate	true	false	true	false
1	startup-root-cause	gpt-5.6-terra	current	true	false	true	false
1	startup-root-cause	gpt-5.6-terra	candidate	true	true	true	true
1	implicit-add	gpt-5.6-luna	current	true	true	true	true
1	implicit-add	gpt-5.6-luna	candidate	true	true	true	true
1	implicit-add	gpt-5.6-terra	current	true	true	true	true
1	implicit-add	gpt-5.6-terra	candidate	true	true	true	true
1	qualitative-improve	gpt-5.6-luna	current	true	true	true	true
1	qualitative-improve	gpt-5.6-luna	candidate	true	false	false	false
1	qualitative-improve	gpt-5.6-terra	current	true	false	false	false
1	qualitative-improve	gpt-5.6-terra	candidate	true	true	true	true
1	trivial-fix	gpt-5.6-luna	current	false	true	true	true
1	trivial-fix	gpt-5.6-luna	candidate	false	true	true	true
1	trivial-fix	gpt-5.6-terra	current	false	true	true	true
1	trivial-fix	gpt-5.6-terra	candidate	false	true	true	true
2	greenfield-start	gpt-5.6-luna	current	true	true	false	false
2	greenfield-start	gpt-5.6-luna	candidate	true	false	false	false
2	greenfield-start	gpt-5.6-terra	current	true	true	true	true
2	greenfield-start	gpt-5.6-terra	candidate	true	true	true	true
2	shared-owner-fix	gpt-5.6-luna	current	true	true	true	true
2	shared-owner-fix	gpt-5.6-luna	candidate	true	true	true	true
2	shared-owner-fix	gpt-5.6-terra	current	true	true	true	true
2	shared-owner-fix	gpt-5.6-terra	candidate	true	true	true	true
2	startup-root-cause	gpt-5.6-luna	current	true	true	true	true
2	startup-root-cause	gpt-5.6-luna	candidate	true	true	true	true
2	startup-root-cause	gpt-5.6-terra	current	true	true	true	true
2	startup-root-cause	gpt-5.6-terra	candidate	true	true	true	true
2	implicit-add	gpt-5.6-luna	current	true	true	true	true
2	implicit-add	gpt-5.6-luna	candidate	true	true	true	true
2	implicit-add	gpt-5.6-terra	current	true	true	true	true
2	implicit-add	gpt-5.6-terra	candidate	true	true	true	true
2	qualitative-improve	gpt-5.6-luna	current	true	false	false	false
2	qualitative-improve	gpt-5.6-luna	candidate	true	true	false	false
2	qualitative-improve	gpt-5.6-terra	current	true	false	false	false
2	qualitative-improve	gpt-5.6-terra	candidate	true	true	true	true
2	trivial-fix	gpt-5.6-luna	current	false	true	true	true
2	trivial-fix	gpt-5.6-luna	candidate	true	true	true	true
2	trivial-fix	gpt-5.6-terra	current	false	true	true	true
2	trivial-fix	gpt-5.6-terra	candidate	true	true	true	true
