run	case	model	condition	luna	terra	strict
1	review-auth-plan	gpt-5.6-luna	none	true	false	false
1	review-auth-plan	gpt-5.6-luna	simple	false	false	false
1	review-auth-plan	gpt-5.6-luna	candidate	false	false	false
1	review-auth-plan	gpt-5.6-terra	none	false	false	false
1	review-auth-plan	gpt-5.6-terra	simple	false	false	false
1	review-auth-plan	gpt-5.6-terra	candidate	true	false	false
1	review-retry-doc	gpt-5.6-luna	none	false	false	false
1	review-retry-doc	gpt-5.6-luna	simple	false	false	false
1	review-retry-doc	gpt-5.6-luna	candidate	false	false	false
1	review-retry-doc	gpt-5.6-terra	none	false	false	false
1	review-retry-doc	gpt-5.6-terra	simple	false	false	false
1	review-retry-doc	gpt-5.6-terra	candidate	false	false	false
